reply_id,measured_at,hours_since,views,likes,replies,reposts,quotes
17886816261437503,2026-07-30T04:01,46,93,1,0,0,0
18057203258774297,2026-07-30T04:01,47,221,6,0,0,0
17874632259623976,2026-07-30T04:01,61,269,2,0,0,0
17870667738567263,2026-07-30T04:01,61,28,1,0,0,0
17937437727323949,2026-07-30T04:01,61,652,6,0,0,0
17982872289045150,2026-07-30T04:01,61,139,0,0,0,0
17871551466652223,2026-07-30T04:01,62,218,1,0,0,0
18119316691662076,2026-07-30T04:01,62,128,0,0,0,0
18191811808388498,2026-07-30T04:01,70,61,0,0,0,0
18414096832151574,2026-07-30T04:31,12,7,0,0,0,0
18126517726737860,2026-07-30T04:31,12,62,5,0,0,0
18113460451862861,2026-07-30T04:31,13,13,0,0,0,0
18010602728930247,2026-07-30T04:31,16,56,3,0,0,0
17931213393124732,2026-07-30T04:31,19,28,0,0,0,0
17983014069028188,2026-07-30T04:31,22,69,0,0,0,0
18089446199418284,2026-07-30T04:31,36,249,2,0,0,0
18027814517665223,2026-07-30T04:31,36,95,0,0,0,0
18091042901115559,2026-07-30T04:31,44,97,1,0,0,0
17886816261437503,2026-07-30T04:31,47,93,1,0,0,0
18057203258774297,2026-07-30T04:31,48,221,6,0,0,0
17874632259623976,2026-07-30T04:31,61,269,2,0,0,0
17870667738567263,2026-07-30T04:31,62,28,1,0,0,0
17937437727323949,2026-07-30T04:31,62,652,6,0,0,0
17982872289045150,2026-07-30T04:31,62,139,0,0,0,0
17871551466652223,2026-07-30T04:31,62,218,1,0,0,0
18119316691662076,2026-07-30T04:31,63,128,0,0,0,0
18191811808388498,2026-07-30T04:31,71,61,0,0,0,0
18414096832151574,2026-07-30T05:01,13,7,0,0,0,0
18126517726737860,2026-07-30T05:01,13,62,5,0,0,0
18113460451862861,2026-07-30T05:01,13,13,0,0,0,0
18010602728930247,2026-07-30T05:01,16,56,3,0,0,0
17931213393124732,2026-07-30T05:01,19,34,0,0,0,0
17983014069028188,2026-07-30T05:01,22,70,0,0,0,0
18089446199418284,2026-07-30T05:01,36,249,2,0,0,0
18027814517665223,2026-07-30T05:01,37,95,0,0,0,0
18091042901115559,2026-07-30T05:01,44,97,1,0,0,0
17886816261437503,2026-07-30T05:01,47,93,1,0,0,0
18057203258774297,2026-07-30T05:01,48,221,6,0,0,0
17874632259623976,2026-07-30T05:01,62,269,2,0,0,0
17870667738567263,2026-07-30T05:01,62,28,1,0,0,0
17937437727323949,2026-07-30T05:01,62,653,6,0,0,0
17982872289045150,2026-07-30T05:01,62,139,0,0,0,0
17871551466652223,2026-07-30T05:01,63,218,1,0,0,0
18119316691662076,2026-07-30T05:01,63,128,0,0,0,0
18191811808388498,2026-07-30T05:01,71,61,0,0,0,0
18414096832151574,2026-07-30T05:31,13,7,0,0,0,0
18126517726737860,2026-07-30T05:31,13,63,5,0,0,0
18113460451862861,2026-07-30T05:31,14,13,0,0,0,0
18010602728930247,2026-07-30T05:31,17,56,3,0,0,0
17931213393124732,2026-07-30T05:31,20,36,0,0,0,0
17983014069028188,2026-07-30T05:31,23,70,0,0,0,0
18089446199418284,2026-07-30T05:31,37,249,2,0,0,0
18027814517665223,2026-07-30T05:31,37,95,0,0,0,0
18091042901115559,2026-07-30T05:31,45,97,1,0,0,0
17886816261437503,2026-07-30T05:31,48,93,1,0,0,0
18057203258774297,2026-07-30T05:31,49,221,6,0,0,0
17874632259623976,2026-07-30T05:31,62,269,2,0,0,0
17870667738567263,2026-07-30T05:31,63,28,1,0,0,0
17937437727323949,2026-07-30T05:31,63,653,6,0,0,0
17982872289045150,2026-07-30T05:31,63,139,0,0,0,0
17871551466652223,2026-07-30T05:31,63,218,1,0,0,0
18119316691662076,2026-07-30T05:31,64,128,0,0,0,0
18191811808388498,2026-07-30T05:31,72,61,0,0,0,0
18414096832151574,2026-07-30T06:01,14,7,0,0,0,0
18126517726737860,2026-07-30T06:01,14,64,5,0,0,0
18113460451862861,2026-07-30T06:01,14,13,0,0,0,0
18010602728930247,2026-07-30T06:01,17,57,3,0,0,0
17931213393124732,2026-07-30T06:01,20,37,0,0,0,0
17983014069028188,2026-07-30T06:01,23,70,0,0,0,0
18089446199418284,2026-07-30T06:01,37,249,2,0,0,0
18027814517665223,2026-07-30T06:01,38,95,0,0,0,0
18091042901115559,2026-07-30T06:01,45,97,1,0,0,0
17886816261437503,2026-07-30T06:01,48,93,1,0,0,0
18057203258774297,2026-07-30T06:01,49,221,6,0,0,0
17874632259623976,2026-07-30T06:01,63,269,2,0,0,0
17870667738567263,2026-07-30T06:01,63,28,1,0,0,0
17937437727323949,2026-07-30T06:01,63,653,6,0,0,0
17982872289045150,2026-07-30T06:01,63,139,0,0,0,0
17871551466652223,2026-07-30T06:01,64,218,1,0,0,0
18119316691662076,2026-07-30T06:01,64,128,0,0,0,0
18191811808388498,2026-07-30T06:01,72,61,0,0,0,0
18414096832151574,2026-07-30T06:31,14,7,0,0,0,0
18126517726737860,2026-07-30T06:31,14,64,5,0,0,0
18113460451862861,2026-07-30T06:31,15,13,0,0,0,0
